,,,Các dòng nhạc tiềm năng,,,,,,,,,,,,,,,,,,,,
,,,Quy mô thị trường,,,,,,,Mức độ phù hợp với mô hình sản xuất AI,,,Tín hiệu gia nhập ngành ,,,,,Độ hợp gu số đông,,,Tổng điểm,Nhận xét,
,Các dòng nhạc phổ biến,,Số kênh,Views/tháng,TB view,Tuổi kênh,Đánh giá quy mô,Chấm điểm,Nhận định quy mô,Đánh giá mức độ,Chấm điểm,Nhận định mức độ phù hợp với AI,Tỷ trọng view của top 20% kênh,Tỷ trọng view của bottom 80% kênh nhỏ,Mức độ phân hóa views,Chấm điểm,Nhận định,Đánh giá mức độ,Chấm điểm,Nhận định,,,
,Christian/Gospel,FMG | Nhạc Chúa,242,"85,185,828","352,008",Cũ,Rất lớn,5,"Đây là thị trường mạnh nhất trong nhóm, lượng người xem lớn và mức độ phổ biến rất cao. Có thể xem là một dòng nhạc đã có tệp khán giả rất rộng và ổn định.",Trung bình,2,"Phù hợp khi làm nhạc nền, nhạc cầu nguyện hoặc bản không lời; kém phù hợp hơn nếu cần giọng hát giàu cảm xúc.",81.98%,18.02%,,2,"View tập trung mạnh vào nhóm kênh lớn, người mới khó chen vào nhanh.",Trung bình,2,"Có tệp nghe lớn nhưng thiên về nhóm khán giả riêng, không phải gu phổ thông của mọi đối tượng.",11,"- Đây là thị trường có quy mô lớn và tệp người nghe rõ ràng. 
- Thị trường này gắn nhiều với cộng đồng, niềm tin và thương hiệu sẵn có
=> Phù hợp hơn nếu khai thác theo các nhánh như instrumental, prayer, soaking, worship ambience.",
,Reggae,FMG | Reggae,151,"48,246,813","319,515",Cũ,Lớn,4,Đây là dòng nhạc có tệp khán giả khá rộng và đã phổ biến ổn định.,Khá cao,4,"Phù hợp với AI vì nhịp điệu ổn định, dễ làm thành các bản mix dài và nhạc nghe nền.",86.97%,13.03%,,1,"Thị trường đã khá chật, phần lớn view nằm ở nhóm dẫn đầu.",Khá cao,4,"Dễ nghe, thư giãn, có độ phổ thông tốt nhưng không quá đại trà.",13,"- Nhu cầu thị trường và tệp người nghe ổn định. 
- Xét về độ phù hợp với mô hình sản xuất AI-first và khả năng tăng trưởng, Reggae hiện chưa nổi bật bằng Afro House, R&B hay Reggaeton. 
=> Có thể là thị trường mở rộng sau, thay vì ưu tiên triển khai đầu tiên.",
,Rock,FMG | Rock,144,"42,694,251","296,488",Cũ,Lớn,4,"Đây là dòng nhạc phổ biến, có lượng người xem tốt và thị trường đã hình thành rõ. Quy mô lớn nhưng không quá vượt trội so với nhóm dẫn đầu.",Trung bình thấp,1,"Ít phù hợp hơn vì dòng này cần cảm giác chơi nhạc thật, nên AI dễ tạo cảm giác thiếu tự nhiên.",84.00%,16.00%,,2,"Cạnh tranh cao, tín hiệu gia nhập không tốt.",Trung bình khá,3,"Có tệp nghe lớn nhưng gu rõ, không phải dòng dễ hợp với mọi nhóm khán giả.",10,"- Rock là dòng nhạc có thị trường và khán giả trung thành
- Ít phù hợp hơn với mô hình sản xuất âm nhạc bằng AI, do phụ thuộc nhiều vào band identity, performance và tính người. 
=> Có thể xem xét nếu công ty phát triển sản xuất theo hướng artist-driven.",
,Phonk,FMG | Phonk,78,"40,114,941","514,294",Cũ,Lớn,4,"Đây là dòng nhạc có sức hút mạnh, người xem quan tâm rõ rệt. Dù số kênh không quá nhiều, thị trường vẫn vận hành rất tốt.",Rất cao,5,"Rất phù hợp với AI vì dễ làm hàng loạt, mạnh về beat, bass và màu âm đặc trưng.",87.34%,12.66%,,1,"Đây là một trong những thị trường khó vào nhất, do view dồn mạnh vào top kênh.",Khá cao,4,"Sức hút mạnh nhưng màu nhạc khá rõ, hợp nhóm đông người nghe trẻ hơn là toàn bộ thị trường.",14,"- Phonk có lợi thế về view và khả năng viral, đồng thời rất phù hợp với AI về mặt sản xuất. 
- Rủi ro bão hòa và template hóa cao hơn.
=> Phù hợp để khai thác theo hướng ngắn hạn hoặc test traffic hơn là trở thành một trong những thị trường trọng tâm dài hạn.",
,Afro house,FMG | Afro House,49,"35,834,893","731,324",1-2 năm trước,Lớn,4,"Đây là dòng nhạc có sức nghe mạnh, dù số lượng kênh chưa nhiều. Điều đó cho thấy người xem phản hồi tốt và thị trường còn khá khỏe.",Rất cao,5,"Là một trong những dòng phù hợp nhất vì dễ làm live dài, nghe lâu và dễ mở rộng thành nhiều bản mix.","86,39%",13.61%,,1,Thị trường mạnh nhưng rào cản gia nhập lớn.,Cao,5,"Dễ tiếp cận, hợp nghe nền và hợp xu hướng phổ thông hiện nay.",15,"- Thị trường này đang có nhu cầu tìm kiếm cao, tuy nhiên kênh dẫn đầu chiếm khoảng 60% tổng views, đổ về một kênh lớn. 
=> Afro House vẫn tiềm năng nhưng không phải thị trường mở để vào trực diện, mà phù hợp hơn với hướng ngách hóa và khác biệt hóa rõ ràng.",
,Afrobeat,FMG | Afrobeat,103,"31,472,686","305,560",Cũ,Khá lớn,3,"Đây là dòng nhạc đã có chỗ đứng rõ trên thị trường. Quy mô tốt, người nghe ổn định, nhưng vẫn chưa phải nhóm mạnh nhất.",Khá cao,4,"Phù hợp với AI nhờ dễ nghe, dễ tiếp cận và dễ tạo nhiều biến thể theo thị hiếu chung.",83.96%,16.04%,,2,"Thị trường khá tập trung, không thuận lợi cho người mới vào theo cách thông thường.",Cao,5,"Dễ nghe, hợp xu hướng phổ biến, phù hợp với thị hiếu số đông.",14,"- Thị trường có quy mô tốt, tuy nhiên phần lớn các kênh lớn đều thuộc kênh nghệ sĩ 
=> Thị trường cạnh tranh cao. Phù hợp với hơn với việc chọn ngách cụ thể hoặc khác biệt hóa format nội dung.",
,R&B,FMG | R&B,61,"24,418,030","400,296",Cũ,Khá lớn,3,"Đây là dòng nhạc có nhu cầu rõ ràng và lượng người nghe ổn định. Quy mô khá tốt, phù hợp xếp vào nhóm tiềm năng cao.",Khá cao,4,Phù hợp với công ty vì AI hỗ trợ tốt phần hòa âm và cảm xúc nền.,60.41%,39.59%,,4,"Thị trường còn mở, người mới vẫn có cơ hội vào.",Cao,5,"Dễ nghe, hợp thị hiếu chung, phù hợp với tệp khán giả rộng.",16,"- R&B có quy mô thị trường đủ tốt và phù hợp với hướng phát triển thương hiệu dài hạn. R&B đòi hỏi gu âm nhạc, cảm xúc, sequencing và cách xây trải nghiệm nghe.
- Phù hợp với mô hình sản xuất bằng AI ở các format như chill mix, soul lounge và late-night vibe 
=> Thị trường còn chỗ cho các kênh có định vị tốt thay vì chỉ cạnh tranh bằng sản lượng. ",
