channel_id,handle,title,country,channel_age_months,subscriber_count,tot_view,n_vid,per_month,view_per_vid,med_view,med_vpd,views_per_month,months_to_100k,thumb_diversity,model,signals,tier,active,days_since_last
UCVJe3AbnDIQXG3G9lGFCnNA,stillworshipmusic,Still Worship,US,15.801576872536137,143000,18516043,511,32.3385446985447,36234.91780821918,8749.0,57.97379912663755,1176181.2855717256,,0.015655577299412915,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng),1-Dẫn đầu,True,0
UCRvsDlh24gUUTY0p_bH_Zeg,oldiesgospelradio,Oldies Gospel Radio,,196.09067017082785,65600,8626661,184,0.9383414307254146,46884.02717391304,12223.0,65.81427364189707,43961.270531077236,,0.03804347826086957,artist/rebroadcast,thumbnail đồng nhất · thiên mix dài,4-Hụt hơi,True,76
UCvnMXsSI5uVe6D0QiFn8V5A,revivalworshiproommusic,Revival Worship Room Music,ZA,15.374507227332456,74200,7419256,277,18.01683760683761,26784.317689530686,4033.0,25.354591836734695,482338.38589743595,,0.02888086642599278,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,2-Thách thức,True,1
UCXbmh4yvJXezZf45OSTLE6Q,holygrooveofficial,Holy Groove,US,217.6741130091984,199000,6893291,173,0.7947660730455781,39845.612716763004,5829.0,19.183266932270918,40635.26377905222,,0.046242774566473986,artist/rebroadcast,thumbnail đồng nhất,5-Ngừng hoạt động,False,147
UCFUsIC5kJVZ53T1Kuf_PBrQ,holygroove-1,holy groove,US,11.662286465177397,17700,4528731,343,29.41104225352113,13203.297376093295,928.0,3.6306620209059233,388232.44597183104,,0.023323615160349854,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng),2-Thách thức,True,25
UCOEE_3XgZIcBTriGeakqxng,saltandlight-k2z,Salt and Light Gospel Music,US,20.367936925098554,56500,4146540,60,2.945806451612903,69109.0,2151.0,16.98591289020299,203740.9589032258,,0.13333333333333333,hybrid,thumbnail đồng nhất,2-Thách thức,True,2
UC2p0g8pvQwnvJ7SGXkaVD-A,bluesguy-h,THE SOUND GUY,FR,7.457293035479632,20100,3636969,352,47.202114537444935,10332.298295454546,2475.5,19.176985616010008,487444.3022026432,,0.019886363636363636,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng),2-Thách thức,True,0
UCsm6fCHy64_Dr3dM5JYHY1Q,thebrokenhallelujah,The Broken Hallelujah,MA,4.467805519053877,11200,3324137,122,27.306470588235292,27247.024590163935,1159.5,31.625,742320.135882353,,0.03278688524590164,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng),1-Dẫn đầu,True,0
UCECpXfI7Y-3r8FipVjXxw-g,holyspiritsoundblues,Holy Spirit Sound,US,66.16294349540078,17600,3208347,292,4.413346573982126,10987.489726027397,1038.0,8.659541881268636,51711.65034756703,,0.0273972602739726,hybrid,thumbnail đồng nhất,3-Đang lên,True,0
UC1CD9Vqz-6tN4rzcmvABzMA,goldensoulworship,Golden Soul Worship,BR,2.8252299605781865,31600,3057809,61,21.591162790697673,50128.016393442624,10224.0,384.17391304347825,1078457.6981395348,,0.08196721311475409,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,1-Dẫn đầu,True,0
UCa9DFs9kUDtUP7c4jvUGGtg,vintage_gospel_vgx,Vintage Gospel VGX,,7.818659658344283,22900,3020511,43,5.499663865546219,70244.44186046511,7401.0,53.431372549019606,486900.2062184874,,0.16279069767441862,hybrid,kênh trẻ (<18 tháng),2-Thách thức,True,5
UCIjV8ew-6xVYlkwK82wQyww,heavenlybluesgospel,HEAVENLY BLUES GOSPEL,US,6.636005256241787,13000,2440159,63,9.493663366336634,38732.68253968254,7548.0,60.324503311258276,364306.97485148517,,0.09523809523809523,ai-first,thumbnail đồng nhất · kênh trẻ (<18 tháng),2-Thách thức,True,9
UCkiqsMbeRSOhJvIgX_rTlKg,gospelbluesescape,Gospel Blues Escape,US,8.508541392904073,18500,2207173,106,12.458069498069499,20822.38679245283,1059.0,33.19444444444444,259130.78378378382,,0.0660377358490566,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,2-Thách thức,True,0
UCOrW68WcP8vxdd9a-AdoT2g,herblues1,HER Blues,US,18.561103810775293,22900,2198068,494,26.614796460176994,4449.530364372469,469.5,6.924657534246576,118323.72807079648,,0.016194331983805668,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · thiên mix dài,3-Đang lên,True,0
UCO0yKutwazBJTEcfvm53LEg,christiansoulblues,ChristianSoulBlues,US,11.530880420499342,19100,2125571,226,19.599544159544163,9405.181415929204,2638.5,15.245127096481745,184278.81675213677,,0.030973451327433628,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng),3-Đang lên,True,2
UCcSVc30fMLL-2id6QJUQmDg,rivers-and-revival,RIVERS AND REVIVAL,US,36.793692509855454,51700,2019881,43,1.1686785714285715,46973.976744186046,14464.0,82.14335664335664,57156.50853571428,,0.16279069767441862,artist/rebroadcast,—,3-Đang lên,True,12
UCVtOtA2Yyi4zA8Iuh3Xw-2A,gospelblueshouses,Gospel Blues House,PE,7.752956636005256,10400,1851785,220,28.37627118644068,8417.204545454546,878.0,11.68351152689609,238690.3586440678,,0.03636363636363636,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,2-Thách thức,True,0
UCi2P-EV8u_d8_In-PegOMaw,christianblueshaven-oasis,Christian Blues Haven,US,5.683311432325887,16400,1710027,114,20.058728323699423,15000.236842105263,3886.5,86.02222222222221,299897.1673988439,,0.05263157894736842,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,2-Thách thức,True,0
UCo7GO4Tiw0OL_smYaxHTotA,faithbluesrevival,Faith & Blues Revival,US,4.303547963206308,13200,1653494,154,35.78442748091603,10736.974025974027,3208.0,46.021412365286444,383840.2671755725,,0.03896103896103896,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,2-Thách thức,True,0
UCp63ZJukIXwT1n_K2jibKlg,bluescristianosprofundos,Blues Cristianos Profundos,PE,18.429697766097238,11100,1359618,102,5.534545454545455,13329.588235294117,3108.0,7.717783729640275,73755.52313725492,,0.0784313725490196,hybrid,thumbnail đồng nhất,3-Đang lên,False,317
UCPbEAnfXxO8HtWX8GNFKivw,gospelbluesroom,Gospel Blues Room,ID,12.089356110381077,16700,1348647,171,14.144673913043478,7886.824561403509,430.0,4.117647058823529,111951.95076086957,,0.04093567251461988,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,3-Đang lên,True,0
UCsiufvef4sma5JB-1T6vk9w,songsworshipblues,Worship Blues,US,11.300919842312746,11600,1194428,99,8.760348837209303,12064.929292929293,932.0,3.6254071661237783,106405.76313953489,,0.08080808080808081,ai-first,thumbnail đồng nhất · kênh trẻ (<18 tháng),3-Đang lên,True,44
UCSj2Ti-vniSzMkROblSB4TQ,deeperstillworship,Deeper Still Worship,US,2.9566360052562417,11800,1064095,78,26.381333333333334,13642.24358974359,2938.0,126.27777777777777,357090.62533333333,,0.0641025641025641,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,2-Thách thức,True,0
UCEUkm8D108BVn7bott8RvMg,spiritflow-s2l,Spirit Flow,BR,10.151116951379763,12300,1058689,188,18.52012944983819,5631.324468085107,620.0,4.938006072874494,104259.26576051781,,0.031914893617021274,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng),3-Đang lên,True,0
UCvDzJNy7vAqLACWnLs-0hiA,marcusmoore-i8y,MARCUS MOORE,US,4.139290407358739,9900,1000547,88,21.25968253968254,11369.852272727272,1626.0,26.605715981012658,241404.41999999998,,0.09090909090909091,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng),2-Thách thức,True,1
UCZq1Q0yt7GMsQ8i9wpYFO4Q,biblebluesofficial,Bible Blues Official,US,33.77135348226018,23300,977539,147,4.352801556420234,6649.925170068027,1882.0,17.089285714285715,29191.130894941638,,0.047619047619047616,hybrid,thumbnail đồng nhất,4-Hụt hơi,True,11
UCs2lrhYGq8de42nBxaZPIyw,graceroadblues,Grace Road Blues,US,6.898817345597897,8150,970400,235,34.063809523809525,4129.36170212766,202.0,4.0,140579.31257142857,,0.02553191489361702,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng) · thiên mix dài,3-Đang lên,True,0
UCObPk4qMwRhdNUhGaaHtsPQ,soulstringsblues-o1g,Soul Strings Blues,,7.982917214191852,11300,889950,146,18.289053497942387,6095.54794520548,503.0,5.2296408250355615,111547.56790123458,,0.0547945205479452,ai-first,nhịp đăng dày (≥12 video/tháng) · thumbnail đồng nhất · kênh trẻ (<18 tháng),3-Đang lên,True,2
