video_id,handle,title,view_count,outlier_ratio,duration_band,age_days,vpd,published_at
eSAaF5VHsmg,holygroove-1,Psalm 51 (Lyrics) | Create in Me a Clean Heart | Blues Worship Song”,1180460,1214.4650205761318,1-6m,352,3353.5795454545455,2025-08-25 03:42:40+00:00
YCBv44crM8w,gospelbluesroom,Powerful Christian Blues Worship | Faith That Lifts You Up,540564,1106.5793244626407,30-60m,306,1766.549019607843,2025-10-10 11:01:09+00:00
OBpHWpdFbPo,holygroove-1,Psalm 23 (Lyrics) | The Lord Is My Shepherd | Christian Blues Worship”,996738,1025.4506172839506,1-6m,353,2823.6203966005664,2025-08-24 03:33:16+00:00
XUNicWGZWtY,herblues1,No Weapon Formed Against Me Shall Prosper | Gospel Blues | Prayer for Protection in Battle,240762,917.1885714285714,1-3h,120,2006.35,2026-04-14 16:00:51+00:00
xsps-HQF-8Y,songsworshipblues,Psalms 23 in Blues - 1950’s Gospel Soul Version,805190,849.3565400843881,1-6m,300,2683.9666666666667,2025-10-16 12:01:52+00:00
LDpivaCxMuo,bluesoffaith1,Psalm 23 Gospel Blues 🙏 Deep Christian Blues Gospel Worship & Psalm Meditation,82712,755.3607305936073,,247,334.8663967611336,2025-12-08 13:46:45+00:00
he9RPaTjtlY,latinmusicgospel,Señor sana mi corazón roto💔| Ya no aguanto mas | Blues Gospel | 1 hora de Adoración Profunda,385701,715.5862708719851,30-60m,90,4285.566666666667,2026-05-14 23:00:06+00:00
owVGe7ZO5XQ,herblues1,"Jesus, Hold Me Together | Gospel Blues | Prayer, Reflection & Strength",174453,664.5828571428572,30-60m,151,1155.317880794702,2026-03-14 15:01:17+00:00
mF0QZnATmaQ,holygroove-1,Psalm 121 (Lyrics) | I Lift My Eyes to the Hills | Worship Blues”,601838,619.1748971193416,1-6m,353,1704.9235127478753,2025-08-24 04:12:17+00:00
su25IgfBszs,herblues1,"God, I’m Not Okay Right Now | Gospel Blues | Prayer When You Feel Too Broken",159046,605.8895238095238,1-3h,125,1272.368,2026-04-09 14:01:35+00:00
2Rc6hBX1apo,gospelblueshouses,Cuando el Alma Duele | Blues Gospel Profundo para Sanidad Interior,666092,603.8912058023573,1-3h,217,3069.548387096774,2026-01-07 15:15:00+00:00
BkPERHGFquw,soulful-gospel-blues,Found My Rest ❤️❤️✝️ #christianmusic #gospelmusic #bluesmusic #churchblues #gospelblues #churchmusic,397220,561.0451977401129,1-6m,89,4463.146067415731,2026-05-15 22:15:00+00:00
