video_id,handle,title,view_count,outlier_ratio,duration_band,age_days,vpd,published_at
AxQ78lNPGZA,goldensoulworship,God’s Blessings Through Worship | 100 Minutes of Powerful Gospel Praise and Soul Healing,8461,0.17701762644489774,1-3h,77,109.88311688311688,2026-05-27 23:01:06+00:00
EdWPiHhClj4,goldensoulworship,My Savior Is Jesus Christ | 30 Minutes of Black Gospel Worship for Prayer & Peace,2354,0.04924943773209896,30-60m,83,28.36144578313253,2026-05-21 22:01:06+00:00
DWsThkmTaKM,goldensoulworship,Black Gospel Worship Music for Prayer & Peace | 30 Minutes of Soulful Gospel,9486,0.19846226267064176,30-60m,84,112.92857142857143,2026-05-20 23:00:06+00:00
0OokRWzt7EU,goldensoulworship,"Be Still, My Soul | 100 Minutes of Soulful Black Gospel Worship for Prayer & Peace",3427,0.07169831058109734,1-3h,85,40.31764705882353,2026-05-19 23:01:06+00:00
cKNb5Ei8QZM,bluesguy-h,Blues that prays #3 #bluesgospel #music #gospelblues #shortsvideo #thesoundguy,569,0.1796936680877941,Shorts,78,7.294871794871795,2026-05-26 13:00:29+00:00
ydSBmHsGooY,bluesguy-h,Blues That Prays | Crying Out To God Through Music     #3,519,0.16390336333491237,1-3h,133,3.9022556390977443,2026-04-01 16:33:27+00:00
mIVKdjtXIzQ,bluesguy-h,Blues Under the Streetlight — Downtown Chicago,540,0.1705352913311227,30-60m,151,3.576158940397351,2026-03-14 17:30:00+00:00
rPcsI9NS-S4,bluesguy-h,Deep Blues that Prays ,584,0.18443075951365862,6-30m,159,3.6729559748427674,2026-03-06 19:00:00+00:00
m3UIJIkVxD0,bluesguy-h,Uplifting Soul And Blues Music Therapy Playlist 2026,548,0.17306174009158376,6-30m,162,3.382716049382716,2026-03-03 23:00:00+00:00
FF6-BqsVCjA,bluesguy-h,When Life Hurts - Soul Blues That Understands You..,595,0.1879046265592926,30-60m,172,3.4593023255813953,2026-02-21 19:00:00+00:00
FxIaHPu5fDY,gracegospelblues,Whatever Was Stolen 🙏🏾 Deep Gospel Blues Prayer | Emotional Testimony Song | Grace Gospel Blues,867,0.09957505455380729,1-3h,60,14.45,2026-06-13 08:00:07+00:00
Ji6q6d9IUmI,gracegospelblues,"Lord, Hear Our Praise 🙏🏾 Deep Gospel Blues Prayer | Emotional Testimony Song | Gospel Blues Haven",695,0.0798208338118755,1-3h,67,10.373134328358208,2026-06-06 08:00:19+00:00
9WoRmpUODyY,christiansoulblues,Gospel Blues for When You're Tired | Deep Praise Songs to Rest in God,548,0.17151799687010955,30-60m,61,8.98360655737705,2026-06-13 01:00:09+00:00
jButvXOFf-8,christiansoulblues,God Reminds Me That I Am Safe in His Hands - Christian Blues | Soulful Worship,591,0.18497652582159624,30-60m,73,8.095890410958905,2026-06-01 01:00:26+00:00
khl0o4GHTXo,christiansoulblues,I WILL TRUST AGAIN | Blues Gospel | Worship Song | Christian Music,534,0.1671361502347418,30-60m,100,5.34,2026-05-05 01:00:54+00:00
5a0kJgIaqQI,christiansoulblues,"If you need God, listen to this now and feel His presence | Christian Blues",577,0.18059467918622849,6-30m,103,5.601941747572815,2026-05-02 01:00:06+00:00
rx3XO6hOCLM,christiansoulblues,God Hears You At Night | Worship Song | Christian Music,500,0.1564945226917058,30-60m,106,4.716981132075472,2026-04-29 01:00:51+00:00
Alq0BPPOTf4,christiansoulblues,LISTEN WHEN YOU FEEL LOST AND ALONE | CHRISTIAN BLUES | SOULFUL WORSHIP,588,0.18403755868544602,30-60m,134,4.388059701492537,2026-04-01 01:00:12+00:00
67aXiyiDJ1o,christiansoulblues,The Lord Lit a Light For Me | Christian Blues | Soulful Worship,633,0.19812206572769953,6-30m,154,4.1103896103896105,2026-03-12 01:00:06+00:00
DZtU80jC-1k,christiansoulblues,Radiant Peace – Christian Gospel Blues & R\&B Worship 🎶 Soulful Prayer and Worship Music |,505,0.15805946791862285,6-30m,344,1.4680232558139534,2025-09-02 10:48:28+00:00
zRy_Onanr2U,saltandlight-k2z,"Soul Comforting ""BLUES"" Gospel Music: Modern Christian Praise and Worship Music PLAYLIST",621,0.14563789868667917,30-60m,70,8.871428571428572,2026-06-03 19:00:07+00:00
6eIMLL7uEGU,saltandlight-k2z,📖Jazz for Working & Study ☕  Smooth  Christian Jazz | Soulful Gospel Jazz,704,0.1651031894934334,Shorts,177,3.977401129943503,2026-02-17 01:12:17+00:00
HN3m9u9i7lU,saltandlight-k2z,Worthy Is The Lamb | Revelation 5:13 | Join The Heavenly Choir | A Global Worship Song for Sundays,833,0.1953564727954972,1-6m,206,4.043689320388349,2026-01-18 04:54:48+00:00
1MIsR0I2FZw,saltandlight-k2z,羔羊是配得的 |  启示录 5:13（和合本）| 灵魂福音音乐 |,656,0.15384615384615385,1-6m,216,3.037037037037037,2026-01-08 18:55:58+00:00
Rt9hOHdNDJ0,saltandlight-k2z,Digno es el Cordero |  Apocalipsis 5:13 | Una Canción de Adoración Global para el Domingo,654,0.15337711069418386,1-6m,217,3.013824884792627,2026-01-07 05:42:21+00:00
tEEBlxXwgvo,saltandlight-k2z,UNSTOPPABLE FAITH (Trap Gospel Banger! 🔥) New 2025 Hip Hop Music,731,0.17143527204502815,Shorts,410,1.7829268292682927,2025-06-28 09:37:02+00:00
VmRkgPm949A,oldiesgospelradio,Best Christian Gospel Songs 2026 - Nonstop Praise and Worship Playlist,1341,0.10971120019635114,1-3h,84,15.964285714285714,2026-05-20 15:26:26+00:00
g8okBP4ADCc,oldiesgospelradio,West Coast Soul Gospel Memories | Oldies Gospel Songs Mix,1716,0.14039106602307125,1-3h,89,19.280898876404493,2026-05-15 14:27:42+00:00
FHsloBPeZuQ,oldiesgospelradio,Golden Era Gospel Songs | Soul Gospel Oldies Playlist,2260,0.18489732471569992,1-3h,91,24.835164835164836,2026-05-13 14:09:46+00:00
ASTz8I-lFXc,oldiesgospelradio,"Lord, Sit With Me Tonight: Gospel for the Lonely Soul",1335,0.10922032234312362,1-3h,98,13.622448979591837,2026-05-06 15:15:03+00:00
2hC-L_sprzw,oldiesgospelradio,Morning Healing Gospel Music – Uplifting Christian Worship Songs to Start the Day with God,2420,0.19798740080176716,1-3h,137,17.664233576642335,2026-03-28 14:15:08+00:00
JOPkQLaEsXo,oldiesgospelradio,Southern Soul Blues Gospel Playlist | Oldies Gospel Hits You’ll Love,2334,0.190951484905506,1-3h,146,15.986301369863014,2026-03-19 14:48:32+00:00
iL-S64mdDt8,oldiesgospelradio,"Oldies Gospel Classics – Soulful 1960s Gospel Songs Filled with Faith, Power, and Deep Emotion",1994,0.16313507322261311,1-3h,153,13.032679738562091,2026-03-12 14:27:29+00:00
vFzoab7YG7I,oldiesgospelradio,"Oldies Gospel Classics – Soulful 60s Gospel Voices Filled with Faith, Emotion, and Timeless Spirit",2400,0.19635114129100875,1-3h,155,15.483870967741936,2026-03-10 11:19:39+00:00
S2_6-BWvFfA,oldiesgospelradio,Oldies Gospel Spirituals for Peace | Lay Down My Sword • Ain’t Gonna Study War No More,2038,0.1667348441462816,1-3h,156,13.064102564102564,2026-03-09 15:11:06+00:00
1O6qguUUnz8,oldiesgospelradio,Motown Gospel | Soul Gospel Oldies (1 Hour) | Classic Motown Vibes,2073,0.1695982982901088,1-3h,157,13.203821656050955,2026-03-08 18:28:02+00:00
Q8ZkcxmzTvo,oldiesgospelradio,Philly Soul Gospel | Vintage Soul Gospel Classics (1 Hour) | Praise & Joy,1652,0.13515503558864436,1-3h,158,10.455696202531646,2026-03-07 15:36:35+00:00
uJt0IePEcuI,oldiesgospelradio,Soul Gospel | Classic Gospel Oldies for Comfort & Healing,2108,0.17246175243393602,1-3h,159,13.257861635220126,2026-03-06 14:40:32+00:00
zHsM9G9xPUo,oldiesgospelradio,Oldies Gospel | Peaceful Gospel Oldies for Sleep & Prayer,2402,0.19651476724208458,1-3h,164,14.646341463414634,2026-03-01 10:56:01+00:00
iPyIcW_indo,oldiesgospelradio,Oldies Gospel Classics – Golden Era of Gospel Music,2250,0.1840791949603207,1-3h,172,13.081395348837209,2026-02-21 16:54:45+00:00
lTYf-GX0hJI,oldiesgospelradio,Sunday Oldies Gospel – Classic Worship for the Soul,2141,0.17516158062668738,1-3h,174,12.304597701149426,2026-02-19 14:59:15+00:00
DFcqRU0YJfI,oldiesgospelradio,Healing Gospel Music for Grieving Hearts | Christian Comfort in Loss,2356,0.19275137036734025,1-3h,176,13.386363636363637,2026-02-17 11:14:36+00:00
nGdH6INE5uU,deeperstillworship,CAST YOUR CARES #CastYourCares #PowerOfPrayer #Shorts #FreedomInChrist #AnxietyRelief #WorshipMusic,863,0.10091206735266604,1-6m,82,10.524390243902438,2026-05-22 21:00:22+00:00
fUhMNI5Fgg4,deeperstillworship,NEW MERCIES #NewMercies #MorningDevotion #ChristianShorts #FaithJourney #TrustGod #StartYourDayRight,633,0.0740177736202058,1-6m,86,7.3604651162790695,2026-05-18 21:00:29+00:00
HX3S9QvzMck,deeperstillworship,STRONG SHEPHERD #StrongShepherd #shorts #ChristianShorts #GodIsMyGuide #FaithOverFear #Psalm23,672,0.07857811038353602,1-6m,89,7.550561797752809,2026-05-15 21:00:28+00:00
E2MmjeZkFWQ,deeperstillworship,Strong Shepherd | 1 Hours of Peaceful Black Gospel Music to Find Your Safe Place,587,0.06863891487371375,1-3h,89,6.595505617977528,2026-05-15 17:00:30+00:00
q34xZ-lga-U,stillworshipmusic,Hallelujah Anyhow | Deep Gospel Blues Worship | Black Gospel R&B Music,1510,0.19600207684319834,6-30m,137,11.021897810218977,2026-03-28 13:00:00+00:00
YV0soXgSj2Y,stillworshipmusic,Soul Deep Gospel Blues | Still Worship for Every Season,1429,0.18548805815160954,30-60m,141,10.134751773049645,2026-03-24 14:01:00+00:00
aB39tYHA_M4,stillworshipmusic,Deep Gospel Blues – Find Comfort in Prayer | Relaxing Christian Worship & Spiritual Rest,1361,0.17666147455867082,6-30m,149,9.134228187919463,2026-03-16 20:00:00+00:00
KFQZcWDRmZk,stillworshipmusic,Deep Gospel Blues – Peace in His Presence | Christian Worship & Prayer,1242,0.16121495327102803,6-30m,153,8.117647058823529,2026-03-12 14:00:27+00:00
1EvNpDcrPcM,stillworshipmusic,"Shield on My Left, Mercy on My Right – Gospel Blues | Calming Christian Music",869,0.11279854620976117,6-30m,155,5.606451612903226,2026-03-10 14:00:03+00:00
hYFFOVjQONM,stillworshipmusic,Even Here – Gospel Blues Worship | Christian Testimony Music,1483,0.19249740394600207,1-6m,161,9.211180124223603,2026-03-04 15:01:21+00:00
NXj8CTSzqZk,stillworshipmusic,Praise Rises Naturally | Soulful Christian Blues Gospel | Worship Music for Every Season,1072,0.1391484942886812,1-6m,163,6.576687116564417,2026-03-02 15:00:44+00:00
hX2fWkC-GAo,stillworshipmusic,Let Me Testify | Christian Gospel Blues R&B Worship Songs,797,0.1034527518172378,1-6m,165,4.83030303030303,2026-02-28 15:01:13+00:00
DJxQb9Dcw1Q,stillworshipmusic,Hold On To Me – Christian Blues Gospel Worship | Praise and Worship Songs,1445,0.18756490134994808,1-3h,167,8.652694610778443,2026-02-26 15:00:30+00:00
6-hVaCk143w,stillworshipmusic,When Faith Feels Heavy: Gospel Blues for the Weary Soul,687,0.08917445482866043,6-30m,175,3.9257142857142857,2026-02-18 15:00:17+00:00
rw8QLUGqaas,stillworshipmusic,Steady Faith in a Rance Allen Style – Christian Blues Worship | Black Gospel Music,822,0.10669781931464174,6-30m,176,4.670454545454546,2026-02-17 15:01:33+00:00
82OPGMmpgBY,stillworshipmusic,Always On Time – Gospel Blues Music | Christian  Worship Songs,871,0.11305815160955347,6-30m,180,4.838888888888889,2026-02-13 15:00:11+00:00
Jfr1NXbC7bY,stillworshipmusic,Christian Blues Worship | Scripture-Rooted Praise & Prayer,558,0.07242990654205607,6-30m,181,3.0828729281767955,2026-02-12 15:15:03+00:00
0u-2n46zJ_0,stillworshipmusic,Christian Blues Worship Music | Pure Soulful Gospel Praise,828,0.10747663551401869,1-6m,183,4.524590163934426,2026-02-10 15:00:06+00:00
kU4_gh1OLzI,stillworshipmusic,"When the Storm Comes, There's a Door Already Open | Christian Blues Worship ",694,0.09008307372793355,30-60m,199,3.487437185929648,2026-01-25 18:00:49+00:00
UdM50fiz3q0,stillworshipmusic,You Never Let Me Go – Christian Blues Sermon & Soulful R&B Gospel Worship Song,952,0.12357217030114226,6-30m,200,4.76,2026-01-25 00:00:36+00:00
oBfjrpTl7mM,stillworshipmusic,"No Rush, No Fear – Christian Blues Sermon with R&B Gospel Praise & Worship",816,0.1059190031152648,6-30m,202,4.03960396039604,2026-01-23 00:01:02+00:00
