phrase,n_words,n_channels,in_B4_count
prayer,1,23,26
lord,1,19,16
god,1,18,24
peace,1,15,20
faith,1,15,13
healing,1,14,11
powerful,1,14,19
jesus,1,11,13
praise,1,11,23
strength,1,10,3
still,1,10,7
testimony,1,10,22
grace,1,10,2
psalm,1,9,12
psalms,1,9,9
heart,1,8,4
need,1,8,6
through,1,8,3
relaxing,1,7,1
hope,1,7,2
spirit,1,7,8
broken,1,7,13
let,1,7,8
when,1,7,15
from,1,6,1
emotional,1,6,18
weary,1,6,1
gospelmusic,1,6,2
will,1,6,5
what,1,6,4
prayer peace,2,5,0
rest,1,5,3
trust,1,5,4
soulmusic,1,5,0
modern,1,5,2
out,1,5,3
his,1,5,15
light,1,5,3
walk,1,5,1
give,1,5,2
not,1,5,1
reflection,1,5,0
love,1,5,2
prayer emotional testimony,3,4,0
peace healing,2,4,0
modern praise,2,4,0
emotional testimony,2,4,9
prayer emotional,2,4,0
powerful testimony,2,4,0
everlasting grace,2,4,0
relax,1,4,1
bluesmusic,1,4,0
hear,1,4,8
hearts,1,4,1
christianmusic,1,4,4
blood,1,4,0
sound,1,4,1
refuge,1,4,0
uplifting,1,4,4
speak,1,4,0
glory,1,4,1
lift,1,4,4
over,1,4,5
mercy,1,4,1
tired,1,4,3
but,1,4,3
all,1,4,17
never,1,4,2
heaven,1,4,3
everlasting,1,4,0
how,1,4,2
collection,1,4,0
surrender,1,4,1
heal,1,4,13
don't,1,4,1
prayer peace healing,3,3,0
prayer strength,2,3,0
lord need,2,3,0
let god,2,3,0
clean heart,2,3,0
powerful praise,2,3,0
faith strength,2,3,0
fall prayer,2,3,0
healing peace,2,3,0
lord prayer,2,3,0
prayer reflection,2,3,0
can,1,3,1
bluesgospel,1,3,2
lyrics,1,3,0
loves,1,3,0
bluescommunity,1,3,0
cry,1,3,2
heals,1,3,0
found,1,3,0
ever,1,3,7
amazing,1,3,0
was,1,3,3
sung,1,3,1
comfort,1,3,4
day,1,3,4
presence,1,3,2
feel,1,3,4
peaceful,1,3,3
clean,1,3,0
working,1,3,1
right,1,3,2
rock,1,3,1
haven,1,3,5
jazz,1,3,3
now,1,3,2
victory,1,3,0
pray,1,3,29
fall,1,3,1
holding,1,3,1
holy,1,3,3
night,1,3,4
timeless,1,3,2
way,1,3,4
have,1,3,6
chains,1,3,0
fear,1,3,3
gospelblues,1,3,6
hallelujah,1,3,13
vibes,1,3,1
coraz,1,3,0
