handle,n_bib,vpd_bib,vpd_no,lift
holygrooveofficial,45,33.34905660377358,14.306213335536643,2.3310890045889714
soulstringsblues-o1g,14,7.831903945111493,4.3933333333333335,1.7826791984320545
vintage_gospel_vgx,24,75.5882985074627,43.36812440038375,1.7429459897692472
bluesoffaith1,5,2.19672131147541,1.273972602739726,1.7243081262118811
holygroove-1,255,3.835777126099707,2.7468671679197993,1.3964188625125757
holyspiritsoundblues,22,9.252667960223139,7.797727272727273,1.1865852236951855
saltandlight-k2z,7,15.06989247311828,18.387173396674584,0.8195872279011492
deeprivergospel,5,2.9791666666666665,4.074418604651163,0.7311881659056316
songsworshipblues,29,2.8524590163934427,4.015533695492586,0.710356140105439
rivers-and-revival,6,58.29600694444444,82.5760642865906,0.7059673701827304
thearksound,7,1.3563218390804597,3.3053435114503817,0.4103421730243423
graceinbluesgospel,32,1.99760402057036,5.532258064516129,0.3610829424937677
biblebluesofficial,22,2.4394847495920673,18.62686567164179,0.13096592806303567
