v1,ch1,v2,ch2,hamming
3MvueiMFo9o,thearksound,WNeYCFPs-Ak,christianblueshaven-oasis,0
cmtC94W5x_o,thearksound,f0hpKFGAvk0,gospelbluesworshiphouse,0
uvb68vYf6k0,thearksound,ONxa-4-8D7E,soulworshipprayer,0
wh0IVNwuqgk,thearksound,ONxa-4-8D7E,soulworshipprayer,0
SPIJIZjee8E,thearksound,krkgxpdinlU,soulworshipprayer,0
hi8UspVhIXk,thearksound,UJzTBDyIN8Y,goldensoulworship,0
LqgVkgRwRSI,thearksound,knPFleOhraY,faithbluesrevival,0
7cYmBdAYY8g,herblues1,a9tzDeDdWBQ,gospelbluesescape,0
Bt0UgbZxekg,heavenlyatmosphere.c,rx8Y5Vi2xpg,soulworshipprayer,0
iQ6LmzH_w-4,heavenlyatmosphere.c,rx8Y5Vi2xpg,soulworshipprayer,0
92IHitAFDdw,thearksound,tAi0bivnQ-0,deeperstillworship,1
BuGHRKAVWSg,thearksound,08TeAD7Vhd0,heavenlyatmosphere.c,1
NaXGOrjtVHw,thearksound,2y2CcCzAtyM,stillworshipmusic,1
3qkImqieGrQ,christiansoulblues,360d4eS9mSI,christianbluesgospel86,1
3qkImqieGrQ,christiansoulblues,oLVL82Rydwo,christianbluesgospel86,1
SPIJIZjee8E,thearksound,h-otPEgCRFg,soulworshipprayer,2
neNhD2GN9Ik,herblues1,mU3pf4OG2lg,christianbluesgospel86,2
gxKIL4Pt5I8,thearksound,Nusk85UWgSU,gracegospelblues,3
7xXZ0Ic6DDA,thearksound,3iELa39Z8dQ,gracegospelblues,3
1KRBbeTdYMc,thearksound,91pWfg7xlzo,gracegospelblues,3
7cYmBdAYY8g,herblues1,DyrV7GUhN_g,faithbluesworship,3
DyrV7GUhN_g,faithbluesworship,a9tzDeDdWBQ,gospelbluesescape,3
WU7UDknwCsc,thearksound,OXnhIpWbxdY,divinegraceworshiphouse,4
TkZdj-6JIYg,thearksound,aQoCoIQH4hM,goldensoulworship,4
dYtddLro1w0,thearksound,njDFIz5K_u0,faithbluesrevival,4
9J_yuJYjml4,herblues1,E81UxV2dfNY,christianbluesgospel86,4
D66OySdX9K0,herblues1,5uOy2EOWJ2A,christianbluesgospel86,4
9J_6cDHo76k,herblues1,mU3pf4OG2lg,christianbluesgospel86,4
nw8XW8vOEEw,herblues1,6B1LPQ-25PM,christianbluesgospel86,4
e8TD_00IqsM,christianblueshaven-oasis,iwnwf0NcM0s,christianbluesgospel86,4
NA3blUmsBRg,christianblueshaven-oasis,IHDsHmW93uY,christianbluesgospel86,4
SPIJIZjee8E,thearksound,EhS2J7-RcTs,soulworshipprayer,5
ULOSwdgg8Ps,thearksound,BTo5mf3wb0o,goldensoulworship,5
RiVTyIKz-3s,herblues1,9GNDpdtdXmQ,christianbluesgospel86,5
P9DipeNYdsY,herblues1,5uOy2EOWJ2A,christianbluesgospel86,5
dkLmSpiR6dw,herblues1,9GNDpdtdXmQ,christianbluesgospel86,5
kYGLFdOj9ng,herblues1,E81UxV2dfNY,christianbluesgospel86,5
N-YnsSjTFi0,christianblueshaven-oasis,a6YOpEKvBpE,thebrokenhallelujah,5
mG_P2dEFvrE,christianblueshaven-oasis,t3r4QBnTPyQ,christianbluesgospel86,5
SPIJIZjee8E,thearksound,dDQvm_Q83zg,soulworshipprayer,6
OJTsDjiFtpQ,thearksound,LPb2skpc_8c,christianblueshaven-oasis,6
m5wHWJ_lTTk,bluesofgracevibes,LqziWN2GMNg,stillworshipmusic,6
mR5vr_Qh7J8,herblues1,9GNDpdtdXmQ,christianbluesgospel86,6
uAtEVsZJvYc,herblues1,9GNDpdtdXmQ,christianbluesgospel86,6
r7JT9fii7dU,herblues1,E81UxV2dfNY,christianbluesgospel86,6
DO47Pa1ofLc,herblues1,ZvQF5x-pTto,christianbluesgospel86,6
0GiRhRiFCkQ,herblues1,9dcZF9Zb8uM,christianbluesgospel86,6
KK_BozkAuYw,herblues1,ZvQF5x-pTto,christianbluesgospel86,6
lQvwKWSnr98,christianblueshaven-oasis,hMo2cn521jQ,christianbluesgospel86,6
6B1LPQ-25PM,christianbluesgospel86,B5tbaKsWe4M,gospelbluesescape,6
GAzX_GoFzOQ,christianbluesgospel86,QKdgx_0Oj28,gospelbluesescape,6
rVzGIWDhfdo,christianbluesgospel86,yky8wDnKdGU,gospelbluesescape,6
rVzGIWDhfdo,christianbluesgospel86,BUhzUCZDoP0,gospelbluesescape,6
