theme,n,share_pct,vpd_theme,vpd_other,lift,p,n_ch_tested,n_ch_better,within_median_lift,verdict
old_school,222,3.9579247637725086,21.98251922207146,9.285714285714286,2.367348223915388,4.622068995157065e-06,8,4,1.046395947755198,YẾU
thanks,55,0.9805669459796755,15.324786324786325,9.43109987357775,1.6249203730436974,0.01338066419769403,3,2,2.284928310027306,XÁC NHẬN
testimony,452,8.058477446960243,13.89247311827957,9.205263157894738,1.5091880460109308,0.00628270002625584,22,8,0.8454885265648966,BÁC BỎ (Simpson)
presence,144,2.5673025494740593,10.218708290917316,9.486486486486486,1.0771857742562414,0.16709005103450303,10,6,1.0608244759461642,BÁC BỎ
peace_rest,825,14.708504189695132,9.797101449275363,9.443480470451576,1.0374460433237787,0.07545903424740777,34,19,1.0383906965631657,BÁC BỎ
deliverance,72,1.2836512747370297,9.640131578947368,9.492307692307692,1.0155730188518297,0.09094776512913837,5,3,1.3097037207165825,BÁC BỎ
grace_mercy,306,5.455517917632377,9.597581585081585,9.490196078431373,1.0113154149569439,0.9256441295400963,22,14,1.4304352948895975,BÁC BỎ
sorrow_pain,453,8.076305936887145,9.490196078431373,9.502564102564103,0.9986984540173328,0.9386213773801259,23,12,1.044925640479015,BÁC BỎ
prayer,1101,19.629167409520416,9.39,9.556677681863142,0.9825590349060881,0.3729063132611061,32,12,0.887465562187268,BÁC BỎ
hope_faith,764,13.62096630415404,8.615305563167992,9.664570230607966,0.8914318337594647,0.5833755202879304,29,10,0.8985953099513524,BÁC BỎ
morning,66,1.1766803351756105,8.493515066790929,9.548961424332344,0.8894700365160171,0.27333940357445063,5,2,0.8267894812267906,BÁC BỎ
healing,733,13.06828311642004,7.367231638418079,9.92921834612379,0.7419749855026735,0.0014128619171733725,30,13,0.8827912248586038,BÁC BỎ (Simpson)
strength,249,4.439293991798895,6.440506329113924,9.64078144078144,0.6680481627630264,0.0042292399964396505,14,4,0.868414026709165,BÁC BỎ (Simpson)
scripture,652,11.62417543234088,6.172417048826544,10.069565217391304,0.6129775134845014,0.00028078296289154236,18,13,1.2794505576295063,TRÁNH
night_sleep,283,5.045462649313603,2.3950617283950617,10.131392782969886,0.2364000468347236,4.8539024769815966e-32,15,2,0.6656304698870663,BÁC BỎ (Simpson)
instrumental,58,1.034052415760385,1.686411465892598,9.719298245614034,0.17351164901783048,2.7106481212100333e-15,2,0,0.2798193185453463,TRÁNH
