word,in_comments,in_titles,ratio
amen,2233,5,446.6
thank,3062,24,127.58333333333333
beautiful,970,11,88.18181818181819
much,615,12,51.25
always,556,11,50.54545454545455
these,645,16,40.3125
father,712,20,35.6
bless,960,28,34.285714285714285
christ,778,30,25.933333333333334
name,789,32,24.65625
good,530,26,20.384615384615383
glory,713,36,19.805555555555557
know,760,42,18.095238095238095
love,1946,143,13.608391608391608
life,774,74,10.45945945945946
every,785,90,8.722222222222221
keep,556,68,8.176470588235293
like,733,95,7.71578947368421
holy,533,79,6.746835443037975
hallelujah,589,98,6.010204081632653
jesus,2298,480,4.7875
spirit,656,159,4.1257861635220126
heart,1038,283,3.6678445229681977
through,726,200,3.63
lord,2351,803,2.9277708592777087
praise,781,344,2.270348837209302
songs,696,369,1.886178861788618
music,1821,1090,1.6706422018348623
peace,752,550,1.3672727272727272
song,911,679,1.3416789396170838
still,535,444,1.204954954954955
soul,875,1112,0.7868705035971223
worship,765,2503,0.30563324011186577
blues,715,6623,0.1079571191303035
gospel,528,4908,0.10757946210268948
