genre,channels,views_month,top20_pct,old_score,age,old_scale,old_ai,old_entry,old_taste,T1_new,T3_proxy,T1_old,T3_old,dT1,dT3
Christian/Gospel,242.0,85185828.0,81.98,11.0,Cũ,5.0,2.0,2.0,2.0,5,1.0,5.0,2.0,0.0,-1.0
Reggae,151.0,48246813.0,86.97,13.0,Cũ,4.0,4.0,1.0,4.0,4,1.0,4.0,1.0,0.0,0.0
Rock,144.0,42694251.0,84.0,10.0,Cũ,4.0,1.0,2.0,3.0,4,1.0,4.0,2.0,0.0,-1.0
Phonk,78.0,40114941.0,87.34,14.0,Cũ,4.0,5.0,1.0,4.0,4,1.0,4.0,1.0,0.0,0.0
Afro house,49.0,35834893.0,86.39,15.0,1-2 năm trước,4.0,5.0,1.0,5.0,4,1.0,4.0,1.0,0.0,0.0
Afrobeat,103.0,31472686.0,83.96,14.0,Cũ,3.0,4.0,2.0,5.0,4,1.0,3.0,2.0,1.0,-1.0
R&B,61.0,24418030.0,60.41,16.0,Cũ,3.0,4.0,4.0,5.0,4,4.0,3.0,4.0,1.0,0.0
Reggaeton,41.0,19576905.0,57.57,15.0,Cũ,1.0,4.0,5.0,5.0,3,4.0,1.0,5.0,2.0,-1.0
Reggae Gospel,35.0,18781057.0,,14.0,<1 năm,3.0,4.0,2.0,5.0,3,,3.0,2.0,0.0,
Country,66.0,10574973.0,62.91,7.0,1-2 năm trước,1.0,1.0,3.0,2.0,3,3.0,1.0,3.0,2.0,0.0
Christian Blues,53.0,10573212.0,61.8,12.0,<1 năm,3.0,4.0,2.0,3.0,3,4.0,3.0,2.0,0.0,2.0
Blues Soul,26.0,6263338.0,68.02,12.0,Cũ,3.0,4.0,3.0,2.0,2,3.0,3.0,3.0,-1.0,0.0
Jazz hop,30.0,6013968.0,70.41,14.0,<1 năm,3.0,5.0,2.0,4.0,2,2.0,3.0,2.0,-1.0,0.0
Soul Funk,79.0,5693084.0,60.69,11.0,Đầu năm 2026,2.0,3.0,3.0,3.0,2,4.0,2.0,3.0,0.0,1.0
Jazz house,23.0,4858857.0,75.18,12.0,1-2 năm trước,2.0,5.0,2.0,3.0,2,2.0,2.0,2.0,0.0,0.0
Groove pop,10.0,4353528.0,66.11,16.0,<1 năm,3.0,5.0,3.0,5.0,2,3.0,3.0,3.0,-1.0,0.0
Rap & Bluesy Hip-Hop,27.0,3055779.0,77.43,13.0,<1 năm,2.0,5.0,2.0,4.0,2,2.0,2.0,2.0,0.0,0.0
Trap Soul (Soul R&B),19.0,3054435.0,92.42,8.0,<1 năm,1.0,2.0,1.0,4.0,2,0.0,1.0,1.0,1.0,-1.0
Reggae Deep Dub,17.0,3042122.0,,14.0,1-2 năm trước,2.0,5.0,4.0,3.0,2,,2.0,4.0,0.0,
R&B / Neo Soul (mix),5.0,1826224.0,33.33,13.0,1-2 năm trước,2.0,4.0,4.0,3.0,1,5.0,2.0,4.0,-1.0,1.0
Violin x metal,9.0,1605192.0,43.94,8.0,1-2 năm trước,1.0,2.0,4.0,1.0,1,5.0,1.0,4.0,0.0,1.0
Dark Trip-Hop AI,9.0,1470904.0,,9.0,<1 năm,1.0,5.0,,3.0,1,,1.0,,0.0,
Violin x hip hop,7.0,1429827.0,74.32,8.0,<1 năm,1.0,3.0,2.0,2.0,1,2.0,1.0,2.0,0.0,0.0
Dance Pop,5.0,628526.0,45.49,11.5,<1 năm,0.5,2.0,4.0,5.0,0,5.0,0.5,4.0,-0.5,1.0
