name,handle,v3,views_per_month,growth
Deep River Gospel,deeprivergospel,2938,74522.64338709677,25.36509305210918
Faith & Blues Worship,faithbluesworship,3804,54539.30812227075,14.337357550544361
Christian Blues Gospel,christianbluesgospel86,2912,29556.032063492064,10.149736285539857
Sacred Roots Music,sacredrootsmusic,2919,28969.159663865546,9.924343838254726
Grace Road Blues,graceroadblues,17656,140579.31257142857,7.962126901417568
THE SOUND GUY,bluesguy-h,61669,487444.3022026432,7.904203119924811
Spirit Flow,spiritflow-s2l,14342,104259.26576051781,7.269506746654428
Soul Strings Blues,soulstringsblues-o1g,17331,111547.56790123458,6.436303035095181
The Ark Sound,thearksound,4827,28805.127591240875,5.967501054742257
Worship Blues,songsworshipblues,23414,106405.76313953489,4.544535881931105
Blues Cristianos Profundos,bluescristianosprofundos,17346,73755.52313725492,4.252019090121926
Gospel Blues Sanctuary,gospelbluessanctuarymusic,17707,71673.1893548387,4.047731933971802
Grace Gospel Blues,gracegospelblues,35042,130531.37552941177,3.724997874819125
holy groove,holygroove-1,105423,388232.44597183104,3.6826161840569043
ChristianSoulBlues,christiansoulblues,57829,184278.81675213677,3.186616001524093
Gospel Blues Room,gospelbluesroom,36795,111951.95076086957,3.0425859698564905
HOPE GOSPEL BLUES,hopegospelblues,79834,232752.2505263158,2.915452695922988
Gospel Blues Worship House,gospelbluesworshiphouse,13853,38377.991,2.7703739984118965
BlessedSound,godblessthemusic,1804,4555.431810089021,2.525183930204557
Faith & Blues Revival,faithbluesrevival,168308,383840.2671755725,2.280582427309293
Vintage Gospel VGX,vintage_gospel_vgx,218099,486900.2062184874,2.2324733548456774
Gospel Blues Escape,gospelbluesescape,121260,259130.78378378382,2.1369848571976235
Salt and Light Gospel Music,saltandlight-k2z,118402,203740.9589032258,1.7207560590465178
Gospel Blues House,gospelblueshouses,142403,238690.3586440678,1.6761610264114366
Latin Music Gospel,latinmusicgospel,60605,100765.09714285715,1.6626531992881306
MARCUS MOORE,marcusmoore-i8y,152330,241404.41999999998,1.5847464058294491
Deep Christian Blues,deepchristianblues,52409,78826.23609756098,1.5040591520074982
HEAVENLY ATMOSPHERE,heavenlyatmosphere.c,143672,214186.9090909091,1.490804812983108
Revival Worship Room Music,revivalworshiproommusic,354246,482338.38589743595,1.3615916224810893
Bible Blues Official,biblebluesofficial,21769,29191.130894941638,1.3409495564767164
Louvor Blues,louvorbluessingle,24049,29863.121592920357,1.2417614700370225
The Broken Hallelujah,thebrokenhallelujah,605131,742320.135882353,1.226709813052633
Radio Mix Gospel,radiomix-gospel,49343,55705.2,1.1289382485864257
Christian Blues Haven,christianblueshaven-oasis,304237,299897.1673988439,0.9857353556564254
Golden Soul Worship,goldensoulworship,1140606,1078457.6981395348,0.9455129099264206
Gospel Blues Prayer,gospelbluesprayer,91289,83044.94688,0.9096928094293946
Grace Blues Haven,graceblueshaven,56009,41499.6221686747,0.7409456010404525
Soulful Gospel Blues,soulful-gospel-blues,217215,152990.74290076335,0.7043286278607064
Blues of Grace Vibes,bluesofgracevibes,312728,219136.55371900828,0.7007257224137534
HER Blues,herblues1,172639,118323.72807079648,0.6853823763506304
Deeper Still Worship,deeperstillworship,552550,357090.62533333333,0.6462593888939161
Blues of Faith,bluesoffaith1,19712,9742.218351254482,0.49422779785178983
Still Worship,stillworshipmusic,2935035,1176181.2855717256,0.40073841898707363
The Gospel Blues,thegospelblues,1816,640.575176784523,0.35273963479323955
Holy Spirit Sound,holyspiritsoundblues,159891,51711.65034756703,0.3234181432824051
Soul Healing Music • Gospel & Blues,soulhealingmusicgospelblues,74415,20185.053904761906,0.2712498005074502
Holy Groove,holygrooveofficial,187357,40635.26377905222,0.21688681916903144
Grace in Blues Gospel,graceinbluesgospel,143294,22146.25888324873,0.1545511946295639
Divine Grace Worship House,divinegraceworshiphouse,112155,12051.530207715135,0.10745423929129451
Oldies Gospel Radio,oldiesgospelradio,647037,43961.270531077236,0.06794243687930866
